Date,Exercise,Reps,Weight(kg),Duration(s),Distance(m),Incline,Resistance,isWarmup,Note,multiplier
2023-04-28 11:01:45 +0000,Rowing,0,0,157,448,0,0,FALSE,,0
2023-04-28 11:01:45 +0000,Deadlift,10,43.0913264,0,0,0,0,TRUE,,1
2023-04-28 11:01:45 +0000,Deadlift,5,61.23504277,0,0,0,0,TRUE,,1
2023-04-28 11:01:45 +0000,Deadlift,3,95.25451098,0,0,0,0,TRUE,,1
2023-04-28 11:01:45 +0000,Deadlift,3,102.0584046,0,0,0,0,FALSE,,1
2023-04-28 11:01:45 +0000,Deadlift,3,102.0584046,0,0,0,0,FALSE,,1
2023-04-28 11:01:45 +0000,Front Squat,10,20.41168092,0,0,0,0,TRUE,,1
2023-04-28 11:01:45 +0000,Front Squat,5,43.0913264,0,0,0,0,TRUE,,1
2023-04-28 11:01:45 +0000,Front Squat,3,52.16318459,0,0,0,0,FALSE,,1
2023-04-28 11:01:45 +0000,Front Squat,3,52.16318459,0,0,0,0,FALSE,,1
2023-04-28 11:01:45 +0000,Machine Leg Press,5,183.7051283,0,0,0,0,FALSE,,1
2023-04-28 11:01:45 +0000,Machine Leg Press,5,183.7051283,0,0,0,0,FALSE,,1
2023-04-28 11:01:45 +0000,Calf Press,3,183.7051283,0,0,0,0,FALSE,,1
2023-04-28 11:01:45 +0000,Calf Press,3,183.7051283,0,0,0,0,FALSE,,1
2023-04-28 11:01:45 +0000,Single Leg Cable Kickback,3,15.87575183,0,0,0,0,TRUE,,2
2023-04-27 10:57:11 +0000,Barbell Bench Press,10,20.41168092,0,0,0,0,TRUE,,1
2023-04-27 10:57:11 +0000,Barbell Bench Press,8,40.82336185,0,0,0,0,TRUE,,1
2023-04-27 10:57:11 +0000,Barbell Bench Press,5,72.57486551,0,0,0,0,FALSE,,1
2023-04-27 10:57:11 +0000,Barbell Bench Press,5,72.57486551,0,0,0,0,FALSE,,1
2023-04-27 10:57:11 +0000,Barbell Bench Press,5,72.57486551,0,0,0,0,FALSE,,1
2023-04-27 10:57:11 +0000,Single Arm Lat Pulldown,6,27.21557457,0,0,0,0,FALSE,,2
2023-04-26 11:33:26 +0000,Back Squat,6,20.41168092,0,0,0,0,TRUE,,1
2023-04-26 11:33:26 +0000,Back Squat,6,61.23504277,0,0,0,0,TRUE,,1
2023-04-26 11:33:26 +0000,Back Squat,3,102.0584046,0,0,0,0,TRUE,,1
2023-04-26 11:33:26 +0000,Back Squat,3,115.6661919,0,0,0,0,FALSE,,1
2023-04-26 11:33:26 +0000,Back Squat,6,115.6661919,0,0,0,0,FALSE,,1
2023-04-26 11:33:26 +0000,Back Squat,3,115.6661919,0,0,0,0,FALSE,,1
2023-04-26 11:33:26 +0000,Stiff-Legged Deadlift,8,43.0913264,0,0,0,0,TRUE,,1
