Date,Exercise,Type,Exercise Calories,Exercise Minutes,Sets,Reps Per Set,Pounds,Steps,Note
2013-08-03,"Moving household items, carrying boxes",Cardio,182.0,15,,,,,
2013-08-03,"Running (jogging), 10 mph (6 min mile)",Cardio,277.0,10,,,,,
2013-08-03,"Walking, 3.0 mph, mod. pace, walking dog",Cardio,171.0,30,,,,,
2013-08-04,"Football or baseball, playing catch",Cardio,43.0,10,,,,,
2013-08-04,"Running (jogging), 10 mph (6 min mile)",Cardio,277.0,10,,,,,
2013-08-04,"Swimming laps, freestyle, light/moderate effort",Cardio,182.0,15,,,,,
2013-08-04,"Swimming, treading water, moderate effort",Cardio,312.0,45,,,,,
2013-08-04,"Walking, 3.5 mph, brisk pace",Cardio,144.0,22,,,,,
2013-08-06,"Vacuuming, shag carpet",Cardio,135.0,45,,,,,
2013-10-02,"Front Squats, Barbell, Arms Crossed",Strength,,,3,10,20.0,,
2013-10-02,"Overhead Press, Barbell",Strength,,,3,8,20.0,,
2013-10-02,"Running (jogging), 10 mph (6 min mile)",Cardio,545.0,20,,,,,
2013-10-02,"Running (jogging), 10 mph (6 min mile)",Cardio,545.0,20,,,,,
2013-10-02,"Walking, 3.5 mph, brisk pace",Cardio,142.5,22,,,,,
2014-05-07,Fitbit calorie adjustment,Cardio,635.0,1,,,,,
2014-05-08,Fitbit calorie adjustment,Cardio,378.0,1,,,,,
2014-05-09,Fitbit calorie adjustment,Cardio,44.0,1,,,,,
2014-05-10,Fitbit calorie adjustment,Cardio,-173.0,1,,,,,
2014-05-10,"Walking, 2.5 mph, leisurely pace",Cardio,232.0,45,,,,,
2014-05-11,Fitbit calorie adjustment,Cardio,896.0,1,,,,,
2014-05-11,"Front Squats, Barbell, Arms Crossed",Strength,,,2,10,15.0,,
2014-05-11,"Overhead Press, Barbell",Strength,,,2,10,15.0,,
2014-05-11,"Rope jumping, moderate, general",Cardio,173.0,10,,,,,
2014-05-11,"Standing Biceps Curl, Dumbell",Strength,,,2,10,15.0,,
2014-05-11,"Strength training (weight lifting, weight training)",Cardio,77.0,15,,,,,
2014-05-12,Fitbit calorie adjustment,Cardio,1006.0,1,,,,,
2014-05-13,Fitbit calorie adjustment,Cardio,1652.0,1,,,,,
2014-05-14,Fitbit calorie adjustment,Cardio,688.0,1,,,,,
2014-05-15,Fitbit calorie adjustment,Cardio,1119.0,1,,,,,
2014-05-16,Fitbit calorie adjustment,Cardio,479.0,1,,,,,
2014-05-17,Fitbit calorie adjustment,Cardio,266.0,1,,,,,
2014-05-18,"Bench Press, Barbell",Strength,,,3,12,15.0,,
2014-05-18,Bodyweight Training,Cardio,137.0,10,,,,,
2014-05-18,Fitbit calorie adjustment,Cardio,673.0,1,,,,,
2014-05-18,"Overhead Press, Barbell",Strength,,,3,10,15.0,,
2014-05-18,"Standing Biceps Curl, Dumbell",Strength,,,3,10,15.0,,
2014-05-18,"Stationary bike, vigorous effort (bicycling, cycling, biking)",Cardio,1075.0,60,,,,,
2014-05-18,"Strength training (weight lifting, weight training)",Cardio,154.0,30,,,,,
2014-05-18,Swiss ball rollout,Strength,,,5,10,,,
2014-05-19,Fitbit calorie adjustment,Cardio,478.0,1,,,,,
2014-05-20,Fitbit calorie adjustment,Cardio,446.0,1,,,,,
2014-05-20,"Front Squats, Barbell, Arms Crossed",Strength,,,3,8,20.0,,
