Date,Fitbit body fat %,Fitbit steps,Fitbit tracked sleep minutes,Hips,Neck,Waist,Weight
2014-03-30,,,420.0,,,,
2014-03-31,,,420.0,,,,
2014-04-01,,,420.0,,,,
2014-04-02,,,420.0,,,,
2014-04-03,,,420.0,,,,
2014-04-04,,,420.0,,,,
2014-04-05,,,420.0,,,,
2014-04-06,,,420.0,,,,
2014-04-07,,,420.0,,,,
2014-04-08,,,420.0,,,,
2014-04-09,,,420.0,,,,
2014-04-10,,,420.0,,,,
2014-04-11,32.1,,420.0,,,,232.3
2014-04-12,,,420.0,,,,
2014-04-13,,,420.0,,,,
2014-04-14,,,60.0,,,,
2014-04-15,,,420.0,,,,
2014-04-16,33.3,,,,,,
2014-04-19,,,260.0,,,,
2014-04-20,,,309.0,,,,
2014-04-22,,,420.0,,,,
2014-04-23,33.8,,,,,,232.1
2014-04-25,,,336.0,,,,
2014-04-27,,,379.0,,,,
2014-04-30,33.1,,,,,,
2014-05-01,33.0,,,,,,
2014-05-02,33.1,,398.0,,,,
2014-05-04,,,321.0,,,,
2014-05-06,33.7,,,,,,230.7
2014-05-07,34.0,14230.0,450.0,,,,228.7
2014-05-08,33.4,8250.0,319.0,,,,230.3
2014-05-09,29.3,6860.0,363.0,,,,228.4
2014-05-10,,6814.0,,,,,
2014-05-11,30.3,14150.0,370.0,,,,226.9
2014-05-12,31.7,16309.0,299.0,,,,224.7
2014-05-13,32.3,23106.0,375.0,,,,226.8
2014-05-14,,11102.0,,,,,
2014-05-15,31.9,16599.0,310.0,,,,226.5
2014-05-16,31.6,7738.0,,112.5,43.5,116.0,225.7
2014-05-17,,3697.0,,,,,
2014-05-18,,11821.0,,,,,
2014-05-19,31.3,7001.0,,,,,223.8
2014-05-20,31.3,8053.0,403.0,,,,222.6
2014-05-21,31.2,6527.0,398.0,,,,222.4
2014-05-22,31.0,9920.0,,,,,223.4
2014-05-23,30.8,13979.0,268.0,,,,222.6
2014-05-24,30.8,6664.0,,,,,221.7
2014-05-25,,4832.0,,,,,
2014-05-26,30.5,7072.0,,,,,221.9
2014-05-27,30.7,9532.0,394.0,,,,220.5
2014-05-28,30.6,6592.0,,,,,221.9
2014-05-29,30.5,15495.0,509.0,,,,221.8
2014-05-30,30.4,6846.0,,,,,221.4
2014-05-31,,13128.0,,,,,
2014-06-01,30.3,10143.0,348.0,,,,223.9
2014-06-02,30.3,7743.0,352.0,,,,221.7
2014-06-03,,2739.0,,,,,
2014-06-04,,12964.0,,,,,221.7
2014-06-05,31.0,12526.0,,,,,219.7
2014-06-06,,7650.0,,,,,
2014-06-07,,13306.0,,,,,
2014-06-08,,2738.0,,,,,
