Date,Meal,Time,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2017-11-20,Breakfast,,200.6,10.1,4.0,3.0,3.0,0.1,0.0,244.2,234.5,23.0,1.0,3.0,4.0,15.0,0.1,0.1,0.2,
2017-12-09,Lunch,,1350.0,80.0,3.5,0.0,0.0,0.0,0.0,485.0,0.0,111.1,6.0,0.0,47.5,0.0,20.0,2.0,8.0,
2017-12-09,Dinner,,385.0,12.0,2.0,0.0,0.0,0.0,109.0,642.0,0.0,26.8,5.8,8.2,42.2,0.0,0.0,9.9,15.0,
2017-12-10,Breakfast,,581.3,31.0,12.8,8.0,6.0,0.4,15.0,750.0,400.0,60.3,5.8,13.8,13.3,73.0,75.0,8.5,11.0,
2017-12-10,Dinner,,625.0,3.3,0.9,1.1,0.5,0.0,146.0,560.5,1258.5,86.3,9.9,13.3,60.9,266.0,31.5,19.5,7.0,
2017-12-12,Breakfast,,493.7,27.3,16.0,1.0,6.7,0.0,70.0,1109.3,289.5,40.6,2.0,2.4,22.1,16.0,0.0,17.2,13.2,
2017-12-12,Lunch,,1270.0,60.0,21.0,0.0,0.0,0.0,325.0,1750.0,5.0,121.0,15.0,39.0,48.0,22.0,95.0,51.0,40.0,
2017-12-12,Dinner,,855.0,50.5,23.0,0.0,0.0,0.0,186.5,809.5,0.0,39.5,2.0,0.0,58.5,0.0,0.0,0.0,2.0,
2017-12-13,Breakfast,,301.7,8.2,5.4,0.1,0.6,0.2,29.0,538.8,108.5,30.1,0.0,20.4,23.5,5.8,0.0,27.8,5.0,
2019-04-29,Breakfast,,265.5,5.9,2.4,0.1,0.7,0.0,7.6,360.4,0.9,48.0,2.0,16.0,6.0,1.8,0.0,4.1,16.0,
2019-04-29,Lunch,,596.0,19.2,0.0,0.0,0.0,0.0,171.2,800.0,0.0,44.4,5.6,2.6,58.6,0.0,0.0,0.0,0.0,
2019-04-29,Dinner,,1203.0,18.3,3.6,3.4,7.5,0.0,36.0,645.0,753.0,199.1,13.1,12.4,54.3,0.0,0.0,4.0,20.0,
2019-05-02,Breakfast,,590.0,20.0,9.0,0.0,0.0,0.0,110.0,740.0,0.0,53.0,4.0,6.0,47.0,30.0,35.0,20.0,35.0,
2019-05-06,Lunch,,995.0,60.8,7.0,0.0,0.0,0.0,35.0,1040.0,0.0,48.3,1.0,6.0,56.5,10.0,4.0,35.0,16.0,
2019-05-07,Lunch,,860.0,18.4,1.0,0.0,0.0,0.0,170.0,1000.0,512.0,90.0,6.4,6.0,77.2,0.0,0.0,8.0,42.0,
2019-05-07,Dinner,,810.0,29.0,7.0,0.0,0.0,0.0,0.0,1086.0,0.0,96.0,9.0,15.0,42.0,0.0,0.0,0.0,0.0,
2019-05-08,Breakfast,,661.5,34.9,14.6,3.9,12.2,0.1,563.5,1454.8,709.5,51.2,3.8,25.0,36.1,4.0,20.0,10.0,4.0,
2019-05-08,Lunch,,351.0,16.6,6.3,0.0,0.0,0.3,0.0,595.4,0.0,37.4,8.8,8.2,8.8,0.0,0.0,0.0,0.0,
2019-05-08,Dinner,,1117.9,41.2,14.0,0.3,0.0,0.0,343.0,716.0,318.0,66.3,0.0,3.3,117.3,0.0,0.0,4.0,32.0,
2019-05-08,Snacks,,334.0,22.6,9.5,4.1,7.6,0.0,35.0,253.0,134.0,29.3,2.0,9.9,5.2,0.0,2.0,3.0,9.0,
2019-05-09,Breakfast,,653.1,28.2,9.2,7.2,10.2,0.9,368.1,1114.9,581.5,66.7,5.0,18.2,32.1,211.4,0.0,83.1,14.4,
2019-05-09,Lunch,,850.0,11.0,1.0,0.0,0.0,0.0,160.0,1970.0,0.0,123.0,7.0,12.0,57.0,0.0,0.0,0.0,0.0,
2019-05-09,Dinner,,392.7,21.7,6.6,1.5,9.9,0.0,57.1,45.7,951.2,32.9,2.4,4.2,18.9,15.9,74.6,6.2,12.6,
2019-05-10,Breakfast,,202.0,3.0,0.5,1.0,1.0,0.0,0.0,1.2,0.0,40.0,4.0,13.5,5.0,0.0,0.0,2.0,10.0,
2019-05-11,Breakfast,,622.3,19.7,4.5,4.0,6.7,0.0,368.9,1051.6,139.8,88.8,6.0,13.9,25.5,14.5,0.0,11.7,39.7,
2019-05-11,Lunch,,909.0,45.0,21.0,0.0,0.0,0.0,120.0,2400.0,0.0,78.0,3.0,9.0,39.0,36.0,30.0,60.0,30.0,
2019-05-14,Lunch,,568.0,26.4,22.8,0.0,0.0,0.0,45.0,352.0,270.0,50.0,16.8,6.0,37.0,24.0,0.0,7.0,8.0,
2019-05-15,Lunch,,1378.0,46.3,9.4,12.2,19.3,0.0,649.0,1115.0,1659.0,38.1,1.2,2.3,188.6,6.0,8.0,30.0,50.0,
2019-05-23,Breakfast,,400.0,23.0,8.0,0.0,0.0,0.0,215.0,590.0,0.0,32.0,1.0,4.0,18.0,20.0,0.0,15.0,25.0,
2019-06-20,Breakfast,,430.0,27.0,8.0,0.0,0.0,0.3,0.0,1010.0,0.0,33.0,0.0,3.0,18.0,25.0,0.0,15.0,25.0,
2019-06-20,Lunch,,506.0,41.0,16.1,0.1,0.0,0.0,60.0,1196.5,468.0,15.5,6.5,5.2,16.3,18.0,220.0,7.0,10.0,
2019-06-20,Snacks,,200.0,12.0,3.5,0.0,0.0,0.0,0.0,230.0,0.0,22.0,1.0,1.0,2.0,0.0,8.0,2.0,0.0,
2019-07-29,Lunch,12:35 PM,125.0,10.0,8.5,0.0,0.0,0.0,7.5,100.0,190.0,22.0,2.5,2.0,9.5,32.0,120.0,7.5,4.0,
2019-07-29,Dinner,6:00 PM,387.0,15.1,9.3,2.1,1.6,0.0,7.5,168.4,753.0,79.7,10.6,45.8,19.0,113.9,180.5,54.7,10.8,
2019-07-29,Snacks,10:00 PM,45.0,3.0,1.5,0.0,0.8,0.0,0.0,67.5,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
