Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2022-10-25 08:00:00,"3) Back & Biceps 1",1h 20min,"Rowing (Machine)",1,0,0,0.5,240,"","",
2022-10-25 08:00:00,"3) Back & Biceps 1",1h 20min,"Lat Pulldown (Cable)",1,105.0,10,0,0,"",,
2022-10-25 08:00:00,"3) Back & Biceps 1",1h 20min,"Lat Pulldown (Cable)",2,105.0,10,0,0,,,
2022-10-25 08:00:00,"3) Back & Biceps 1",1h 20min,"Lat Pulldown (Cable)",3,110.0,10,0,0,,,
2022-10-25 08:00:00,"3) Back & Biceps 1",1h 20min,"Iso-Lateral Row (Machine)",1,110.0,8,0,0,"",,
2022-10-25 08:00:00,"3) Back & Biceps 1",1h 20min,"Iso-Lateral Row (Machine)",2,110.0,9,0,0,,,
2022-10-25 08:00:00,"3) Back & Biceps 1",1h 20min,"Iso-Lateral Row (Machine)",3,110.0,8,0,0,,,
2022-10-25 08:00:00,"3) Back & Biceps 1",1h 20min,"Incline Row (Dumbbell)",1,90.0,8,0,0,"",,
2022-10-25 08:00:00,"3) Back & Biceps 1",1h 20min,"Incline Row (Dumbbell)",2,90.0,8,0,0,,,
2022-10-25 08:00:00,"3) Back & Biceps 1",1h 20min,"Incline Row (Dumbbell)",3,90.0,8,0,0,,,
2022-10-25 08:00:00,"3) Back & Biceps 1",1h 20min,"Face Pull (Cable)",1,52.5,12,0,0,"",,
2022-10-25 08:00:00,"3) Back & Biceps 1",1h 20min,"Face Pull (Cable)",2,52.5,12,0,0,,,
2022-10-25 08:00:00,"3) Back & Biceps 1",1h 20min,"Face Pull (Cable)",3,52.5,12,0,0,,,
2022-10-25 08:00:00,"3) Back & Biceps 1",1h 20min,"Bicep Curl (Dumbbell)",1,35.0,10,0,0,"",,
2022-10-25 08:00:00,"3) Back & Biceps 1",1h 20min,"Bicep Curl (Dumbbell)",2,35.0,10,0,0,,,
2022-10-25 08:00:00,"3) Back & Biceps 1",1h 20min,"Bicep Curl (Dumbbell)",3,35.0,10,0,0,,,
2022-10-25 08:00:00,"3) Back & Biceps 1",1h 20min,"Hip Abductor (Machine)",1,140.0,12,0,0,"",,
2022-10-25 08:00:00,"3) Back & Biceps 1",1h 20min,"Hip Abductor (Machine)",2,140.0,12,0,0,,,
2022-10-25 08:00:00,"3) Back & Biceps 1",1h 20min,"Hip Abductor (Machine)",3,140.0,15,0,0,,,
2022-10-27 08:10:00,"4) Shoulders & Arms 1",1h 10min,"Rowing (Machine)",1,0,0,0.5,240,"","",
2022-10-27 08:10:00,"4) Shoulders & Arms 1",1h 10min,"Romanian Deadlift (Barbell)",1,135.0,10,0,0,"",,
2022-10-27 08:10:00,"4) Shoulders & Arms 1",1h 10min,"Romanian Deadlift (Barbell)",2,145.0,6,0,0,,,
2022-10-27 08:10:00,"4) Shoulders & Arms 1",1h 10min,"Romanian Deadlift (Barbell)",3,145.0,8,0,0,,,
2022-10-27 08:10:00,"4) Shoulders & Arms 1",1h 10min,"Romanian Deadlift (Barbell)",4,145.0,0,0,0,,,
2022-10-27 08:10:00,"4) Shoulders & Arms 1",1h 10min,"Arnold Press (Dumbbell)",1,25.0,10,0,0,"",,
2022-10-27 08:10:00,"4) Shoulders & Arms 1",1h 10min,"Arnold Press (Dumbbell)",2,35.0,8,0,0,,,
2022-10-27 08:10:00,"4) Shoulders & Arms 1",1h 10min,"Arnold Press (Dumbbell)",3,35.0,8,0,0,,,
2022-10-27 08:10:00,"4) Shoulders & Arms 1",1h 10min,"Arnold Press (Dumbbell)",4,35.0,7,0,0,,,
2022-10-27 08:10:00,"4) Shoulders & Arms 1",1h 10min,"Arnold Press (Dumbbell)",5,35.0,7,0,0,,,
2022-10-27 08:10:00,"4) Shoulders & Arms 1",1h 10min,"Lateral Raise (Dumbbell)",1,25.0,10,0,0,"",,
2022-10-27 08:10:00,"4) Shoulders & Arms 1",1h 10min,"Lateral Raise (Dumbbell)",2,25.0,8,0,0,,,
2022-10-27 08:10:00,"4) Shoulders & Arms 1",1h 10min,"Lateral Raise (Dumbbell)",3,25.0,6,0,0,,,
2022-10-27 08:10:00,"4) Shoulders & Arms 1",1h 10min,"Reverse Fly (Cable)",1,15.0,10,0,0,"",,
2022-10-27 08:10:00,"4) Shoulders & Arms 1",1h 10min,"Reverse Fly (Cable)",2,15.0,8,0,0,,,
2022-10-27 08:10:00,"4) Shoulders & Arms 1",1h 10min,"Reverse Fly (Cable)",3,15.0,6,0,0,,,
2022-10-27 08:10:00,"4) Shoulders & Arms 1",1h 10min,"Triceps Extension (Cable)",1,55.0,10,0,0,"",,
